vertex,pagerank
0,9.048769771504653e-06
2,7.9406559202116e-06
1,4.575545364494491e-06
13,2.6217577771285606e-06
6,2.610798519774583e-06
10,2.19788873038535e-06
19,2.0944911550985246e-06
36,1.0589885926098e-06
28,4.887457108861885e-07
43,3.2341659312809875e-07
17,2.979813442422388e-07
29,2.979813442422388e-07
4,2.3439322202758888e-07
39,2.089579731417289e-07
15,1.45369850927079e-07
3,1.45369850927079e-07
18,1.45369850927079e-07
16,1.45369850927079e-07
5,1.45369850927079e-07
14,1.45369850927079e-07
7,1.45369850927079e-07
12,1.45369850927079e-07
11,1.45369850927079e-07
21,1.45369850927079e-07
9,1.45369850927079e-07
8,1.45369850927079e-07
20,1.45369850927079e-07
49,1.45369850927079e-07
22,1.45369850927079e-07
23,1.45369850927079e-07
47,1.45369850927079e-07
46,1.45369850927079e-07
45,1.45369850927079e-07
44,1.45369850927079e-07
42,1.45369850927079e-07
41,1.45369850927079e-07
40,1.45369850927079e-07
38,1.45369850927079e-07
37,1.45369850927079e-07
35,1.45369850927079e-07
34,1.45369850927079e-07
33,1.45369850927079e-07
32,1.45369850927079e-07
31,1.45369850927079e-07
30,1.45369850927079e-07
27,1.45369850927079e-07
26,1.45369850927079e-07
25,1.45369850927079e-07
48,1.45369850927079e-07
24,1.45369850927079e-07
